# ICARUS \nu_e flux
# based on fig. 1 in https://arxiv.org/abs/1503.01876
# digitized using WebPlotDigitizer
# 
#    E [GeV]             Flux [cm^-2 GeV^-1 (10^19 pot)^-1]
     0.13324                           366.24
     0.65093                           366.08
     1.1686                           366.08
     1.7189                           370.26
     2.0785                           787.75
     1.9687                           544.07
     1.9804                           403.27
     2.0157                           368.34
     2.6276                           823.62
     3.1452                           823.62
     3.6747                           833.16
     4.0081                           1105.4
     3.8983                           933.58
     3.9688                           842.81
     4.5571                           1158.2
     5.0748                           1158.2
     5.6251                           1172.3
     5.9959                           1378.5
     5.9219                           1168.9
     6.5338                           1438.2
     7.0515                           1438.2
     7.5691                           1444.9
     8.0868                           1491.6
     8.6045                           1499.1
     9.1222                           1499.1
     9.6399                           1499.1
     10.158                           1499.1
     10.675                           1499.1
     11.193                           1499.1
     11.711                           1477.9
     12.228                           1438.2
     12.746                           1438.2
     13.264                           1438.2
     13.781                           1438.2
     14.299                           1438.2
     14.817                           1438.2
     15.334                           1438.2
     15.852                           1438.2
     16.370                           1438.2
     16.888                           1438.2
     17.405                           1438.2
     17.923                           1403.1
     18.441                           1379.8
     18.958                           1379.8
     19.476                           1379.2
     19.853                           1334.8
     19.950                           1145.3
     20.511                           1116.3
     21.029                           1116.3
     21.547                           1109.3
     21.935                           962.73
     21.829                           1085.9
     22.488                           937.03
     23.006                           937.03
     23.523                           937.03
     24.041                           916.46
     24.559                           898.97
     25.076                           898.97
     25.594                           897.84
     26.112                           870.80
     26.630                           862.46
     27.147                           862.46
     27.665                           857.05
     28.068                           776.76
     28.606                           758.08
     29.124                           758.08
     29.642                           753.33
     30.047                           679.93
     30.583                           666.33
     31.100                           666.33
     31.618                           661.05
     31.984                           598.70
     32.512                           585.69
     33.030                           585.69
     33.548                           582.51
     33.951                           527.84
     34.489                           514.80
     35.007                           514.80
     35.557                           505.40
     36.002                           477.28
     36.560                           473.83
     37.077                           473.83
     37.595                           473.64
     38.069                           441.18
     38.631                           434.12
     39.148                           434.12
     39.666                           431.04
     40.069                           373.38
     39.972                           420.34
     40.607                           366.08
     41.125                           366.08
     41.675                           359.27
     42.120                           339.40
     42.678                           336.95
     43.196                           336.95
     43.713                           339.50
     44.231                           349.31
     44.749                           349.60
     45.266                           349.60
     45.784                           355.95
     46.302                           366.08
     46.819                           366.08
     47.337                           366.08
     47.855                           361.81
     48.157                           315.17
     48.702                           308.71
     49.220                           308.71
     49.737                           306.26
     49.996                           269.68
     50.208                           241.22
     50.020                           298.91
     50.726                           239.61
     51.243                           239.61
     51.761                           236.91
     52.087                           213.38
     52.608                           210.61
     53.126                           210.61
     53.644                           209.82
     54.161                           202.22
     54.679                           201.13
     55.197                           201.13
     55.714                           198.86
     56.040                           179.11
     56.561                           176.78
     57.079                           176.78
     57.597                           176.78
     58.096                           167.23
     58.464                           162.39
     58.915                           162.72
     59.432                           162.65
     59.950                           157.42
     60.468                           155.39
     60.985                           155.39
     61.503                           155.39
     62.021                           152.36
     62.538                           149.08
     63.056                           149.08
     63.574                           149.02
     64.091                           144.59
     64.609                           143.02
     65.127                           143.02
     65.645                           142.25
     66.032                           123.28
     65.927                           139.12
     66.586                           120.05
     67.103                           120.05
     67.621                           119.40
     68.013                           103.34
     67.927                           116.78
     68.562                           101.71
     69.080                           101.71
     69.630                           99.777
     70.083                           94.177
     70.633                           93.181
     71.151                           93.181
     71.669                           93.064
     72.142                           84.930
     72.704                           82.282
     73.222                           82.282
     73.772                           80.722
     74.217                           75.759
     74.775                           75.039
     75.292                           75.039
     75.840                           72.969
     76.265                           69.120
     76.798                           69.067
     77.316                           69.067
     77.854                           66.744
     78.276                           63.483
     78.775                           63.571
     79.293                           63.571
     79.810                           62.672
     80.328                           60.734
     80.846                           60.708
     81.363                           60.708
     81.881                           60.379
     82.399                           58.463
     82.917                           58.243
     83.434                           58.243
     83.952                           57.467
     84.470                           55.877
     84.987                           55.877
     85.505                           55.877
     85.952                           54.699
     86.164                           49.445
     86.682                           49.115
     87.199                           49.115
     87.749                           48.218
     88.194                           45.534
     88.752                           45.206
     89.270                           45.206
     89.788                           44.623
     90.073                           38.563
     90.635                           37.946
     91.152                           37.946
     91.703                           37.226
     92.155                           35.162
     92.706                           34.926
     93.223                           34.926
     93.741                           34.548
     94.259                           33.395
     94.776                           33.353
     95.294                           33.353
     95.812                           33.353
     96.329                           33.353
     96.847                           33.353
     97.365                           33.353
     97.882                           33.353
     98.400                           33.353
     98.918                           33.353
     99.436                           33.353
     99.906                           33.387


