# ICARUS \bar\nu_e flux
# based on fig. 1 in https://arxiv.org/abs/1503.01876
# digitized using WebPlotDigitizer
# 
#    E [GeV]             Flux [cm^-2 GeV^-1 (10^19 pot)^-1]
     0.41561                           108.25
     0.93330                           107.98
     1.4510                           107.98
     2.0001                           107.92
     2.0157                           167.54
     1.9687                           136.58
     2.5334                           168.83
     3.0511                           168.83
     3.6092                           170.84
     4.0450                           178.47
     4.6042                           185.12
     5.1219                           185.12
     5.6396                           185.12
     6.1573                           185.12
     6.6750                           185.12
     7.1926                           185.12
     7.7469                           184.67
     8.1954                           189.84
     8.7457                           192.07
     9.2634                           192.07
     9.7811                           192.07
     10.299                           192.07
     10.816                           192.07
     11.334                           192.07
     11.781                           190.29
     11.822                           165.26
     12.370                           162.72
     12.887                           162.72
     13.405                           162.72
     13.944                           156.54
     14.440                           155.39
     14.958                           155.39
     15.476                           155.39
     15.964                           149.51
     16.511                           149.77
     17.029                           149.77
     17.546                           149.39
     17.908                           135.64
     18.441                           131.64
     18.958                           131.64
     19.476                           131.42
     19.892                           117.47
     19.829                           131.34
     20.417                           115.71
     20.935                           115.71
     21.485                           114.28
     21.934                           110.57
     22.488                           110.50
     23.006                           110.50
     23.523                           110.50
     23.994                           109.36
     24.033                           96.784
     24.559                           97.126
     25.076                           97.126
     25.627                           95.997
     26.075                           93.071
     26.630                           92.753
     27.147                           92.753
     27.709                           90.858
     28.139                           89.352
     28.700                           89.396
     29.218                           89.396
     29.736                           88.948
     29.953                           78.718
     30.018                           88.576
     30.489                           78.577
     31.006                           78.577
     31.564                           76.940
     32.000                           73.929
     32.559                           72.324
     33.077                           72.324
     33.615                           70.840
     34.000                           67.019
     34.536                           65.958
     35.054                           65.958
     35.571                           65.676
     35.862                           58.262
     35.901                           65.353
     36.372                           57.975
     36.889                           57.975
     37.407                           57.975
     37.925                           57.534
     38.038                           51.084
     38.536                           51.194
     39.054                           51.194
     39.604                           50.634
     40.053                           49.124
     40.607                           49.115
     41.125                           49.115
     41.686                           48.070
     42.116                           46.925
     42.678                           46.903
     43.196                           46.903
     43.713                           46.664
     43.949                           41.237
     44.019                           46.473
     44.466                           41.227
     44.984                           41.227
     45.542                           40.394
     45.978                           38.817
     46.537                           37.946
     47.055                           37.946
     47.572                           37.946
     48.069                           35.908
     48.608                           34.926
     49.126                           34.926
     49.643                           34.867
     50.048                           30.754
     50.020                           34.606
     50.584                           30.699
     51.102                           30.699
     51.620                           30.699
     52.138                           30.699
     52.655                           30.699
     53.173                           30.699
     53.691                           30.699
     54.208                           30.699
     54.726                           30.699
     55.244                           30.699
     55.761                           30.519
     55.941                           26.636
     56.467                           25.769
     56.985                           25.769
     57.503                           25.769
     58.030                           24.684
     58.491                           23.688
     59.009                           23.718
     59.526                           23.718
     60.044                           23.718
     60.562                           23.718
     61.079                           23.718
     61.597                           23.698
     62.058                           20.843
     62.021                           23.500
     62.585                           20.847
     63.103                           20.847
     63.621                           20.813
     64.026                           18.217
     64.021                           20.653
     64.562                           18.324
     65.080                           18.324
     65.638                           17.942
     66.074                           17.239
     66.633                           16.866
     67.151                           16.866
     67.712                           16.452
     68.142                           16.117
     68.704                           16.107
     69.221                           16.107
     69.739                           16.107
     70.257                           16.107
     70.774                           16.107
     71.292                           16.107
     71.854                           15.613
     72.283                           15.068
     72.845                           14.825
     73.363                           14.825
     73.880                           14.738
     74.059                           13.027
     74.163                           14.689
     74.586                           13.031
     75.104                           13.031
     75.622                           13.009
     76.035                           11.443
     76.022                           12.911
     76.563                           11.454
     77.081                           11.454
     77.598                           11.425
     77.961                           9.9293
     77.975                           11.344
     78.493                           9.7031
     79.010                           9.7031
     79.561                           9.5564
     80.009                           9.0952
     80.563                           8.8490
     81.081                           8.8490
     81.599                           8.8490
     82.107                           8.9223
     82.634                           9.2662
     83.152                           9.2662
     83.689                           9.2024
     84.151                           8.8740
     84.705                           8.8490
     85.223                           8.8490
     85.784                           8.6178
     86.214                           8.3035
     86.776                           8.1448
     87.293                           8.1448
     87.843                           7.9022
     88.227                           7.5902
     88.752                           7.4966
     89.270                           7.4966
     89.788                           7.4966
     90.305                           7.4966
     90.823                           7.4966
     91.341                           7.4966
     91.888                           7.2288
     92.376                           7.1591
     92.894                           7.1591
     93.411                           7.1591
     93.882                           7.0853
     93.921                           6.2705
     94.447                           6.2926
     94.965                           6.2926
     95.482                           6.2926
     96.030                           6.0823
     96.518                           6.0143
     97.035                           6.0093
     97.553                           6.0093
     98.005                           5.9045
     98.118                           5.3668
     98.635                           5.3309
     99.153                           5.3309
     99.679                           5.3803
     100.12                           5.4176



