# ICARUS \nu_\mu flux
# based on fig. 1 in https://arxiv.org/abs/1503.01876
# digitized using WebPlotDigitizer
# 
#    E [GeV]             Flux [cm^-2 GeV^-1 (10^19 pot)^-1]
     0.41561                      12519
     0.36855                      12029
     0.72794                      23510
     1.0745                      38651
     0.86271                      33761
     1.4824                      47203
     1.3412                      40842
     2.0157                      50597
     2.3788                      54620
     2.7217                      60937
     3.2394                      65133
     3.6512                      75230
     4.1179                      86314
     4.5571                      1.0325e+5
     4.9689                      1.2008e+5
     5.3807                      1.2521e+5
     5.6396                      1.4483e+5
     6.0514                      1.6991e+5
     6.5181                      2.0156e+5
     6.9304                      2.1164e+5
     7.2397                      2.3472e+5
     7.6162                      2.7616e+5
     8.0470                      3.2421e+5
     8.5575                      3.5565e+5
     9.0634                      3.7919e+5
     9.5928                      3.8624e+5
     10.063                      3.5744e+5
     10.416                      3.4941e+5
     10.675                      3.1379e+5
     11.146                      2.8979e+5
     11.664                      2.9210e+5
     12.181                      3.0104e+5
     12.699                      3.0370e+5
     13.217                      3.1524e+5
     13.734                      3.2694e+5
     14.252                      3.2872e+5
     14.770                      3.2872e+5
     15.287                      3.2694e+5
     15.805                      3.1577e+5
     16.323                      3.1537e+5
     16.840                      3.1537e+5
     17.358                      3.1537e+5
     17.876                      3.1537e+5
     18.394                      3.2367e+5
     18.911                      3.2872e+5
     19.429                      3.3526e+5
     19.947                      3.5298e+5
     20.464                      3.6409e+5
     20.982                      3.7398e+5
     21.500                      3.7351e+5
     22.017                      3.5924e+5
     22.535                      3.4828e+5
     23.053                      3.3093e+5
     23.551                      3.0384e+5
     24.088                      2.8473e+5
     24.418                      2.6841e+5
     24.653                      2.4243e+5
     25.065                      2.1474e+5
     25.488                      1.9035e+5
     25.900                      1.8368e+5
     26.159                      1.6532e+5
     26.614                      1.4589e+5
     27.053                      1.2886e+5
     27.430                      1.2585e+5
     27.712                      1.1232e+5
     28.136                      98973
     28.606                      90488
     29.030                      77239
     29.540                      72396
     29.877                      68424
     30.112                      59425
     30.524                      52844
     30.912                      51249
     31.195                      45758
     31.606                      40639
     32.089                      34016
     31.901                      38765
     32.512                      30075
     32.889                      29375
     33.171                      25234
     33.583                      22259
     34.007                      19738
     34.418                      19039
     34.677                      17144
     35.132                      15127
     35.642                      13698
     36.061                      12707
     36.395                      12452
     36.654                      11221
     37.172                      10752
     37.689                      10029
     38.207                      9391.2
     38.701                      8561.7
     39.120                      7942.3
     39.619                      7945.9
     40.156                      7848.9
     40.654                      7344.3
     41.172                      7093.3
     41.690                      6978.4
     42.207                      6720.3
     42.725                      6700.6
     43.243                      6700.6
     43.760                      6619.7
     44.278                      6409.6
     44.796                      6139.0
     45.313                      5899.5
     45.831                      5889.6
     46.349                      5835.6
     46.866                      5572.9
     47.384                      5420.9
     47.902                      5420.9
     48.420                      5420.9
     48.937                      5157.4
     49.455                      4966.6
     49.973                      5059.0
     50.490                      5174.7
     51.008                      5016.8
     51.526                      4966.6
     52.043                      4964.5
     52.561                      4790.9
     53.079                      4586.7
     53.596                      4693.6
     54.114                      4580.9
     54.632                      4378.3
     55.150                      4235.8
     55.667                      4188.2
     56.185                      4142.8
     56.703                      4018.1
     57.220                      4040.0
     57.738                      4175.9
     58.256                      4045.1
     58.773                      4018.1
     59.291                      3969.6
     59.809                      3854.9
     60.326                      3854.9
     60.844                      3854.9
     61.362                      3827.5
     61.879                      3649.1
     62.397                      3587.0
     62.915                      3776.6
     63.433                      3797.2
     63.950                      3682.9
     64.468                      3681.3
     64.986                      3576.5
     65.503                      3311.2
     66.021                      3235.8
     66.539                      3235.8
     67.056                      3237.1
     67.574                      3333.4
     68.092                      3261.6
     68.609                      3152.8
     69.127                      3100.5
     69.625                      2854.0
     70.087                      2622.7
     70.586                      2688.9
     71.104                      2724.1
     71.621                      2631.0
     72.139                      2541.1
     72.657                      2517.8
     73.175                      2606.9
     73.692                      2617.8
     74.210                      2617.8
     74.728                      2593.8
     75.245                      2508.3
     75.763                      2411.5
     76.281                      2398.4
     76.798                      2362.5
     77.316                      2283.7
     77.834                      2209.4
     78.351                      2207.5
     78.869                      2207.5
     79.387                      2207.5
     79.905                      2207.5
     80.422                      2151.0
     80.940                      2080.1
     81.458                      2022.5
     81.975                      2022.5
     82.493                      2022.5
     83.011                      1974.8
     83.528                      1883.5
     84.046                      1861.6
     84.564                      1861.6
     85.081                      1861.6
     85.599                      1860.8
     86.109                      1748.6
     86.634                      1710.5
     87.152                      1771.8
     87.670                      1836.8
     88.188                      1852.2
     88.705                      1783.0
     89.223                      1669.5
     89.741                      1627.4
     90.258                      1554.1
     90.776                      1497.2
     91.294                      1445.5
     91.811                      1438.2
     92.329                      1438.2
     92.847                      1449.7
     93.364                      1498.5
     93.882                      1436.0
     94.400                      1379.8
     94.918                      1359.2
     95.435                      1383.3
     95.953                      1455.2
     96.474                      1442.7
     96.984                      1308.6
     97.506                      1226.1
     98.024                      1189.7
     98.541                      1163.6
     99.059                      1163.6
     99.577                      1137.5
     99.953                      1112.2


