# ICARUS \bar\nu_\mu flux
# based on fig. 1 in https://arxiv.org/abs/1503.01876
# digitized using WebPlotDigitizer
# 
#    E [GeV]             Flux [cm^-2 GeV^-1 (10^19 pot)^-1]
     0.91369                        10551
     1.9216                        10970
     2.4719                        10839
     2.9317                        10504
     3.4747                        10285
     3.9924                        9698.5
     4.5101                        9400.6
     5.0278                        8722.0
     5.5454                        8669.2
     6.0631                        8351.4
     6.5808                        8282.3
     7.0985                        7794.2
     7.6162                        7605.3
     8.1339                        7063.7
     8.6516                        7048.9
     9.1693                        7048.9
     9.6870                        6940.5
     10.205                        6700.6
     10.722                        6676.8
     11.240                        6439.2
     11.758                        6289.9
     12.275                        6167.3
     12.793                        6167.3
     13.311                        6167.3
     13.828                        6167.3
     14.346                        6167.3
     14.864                        6167.3
     15.382                        6167.3
     15.899                        6167.3
     16.417                        6167.3
     16.935                        6167.3
     17.452                        6167.3
     17.970                        6319.9
     18.488                        6428.4
     19.005                        6585.6
     19.523                        6700.6
     20.041                        6700.6
     20.558                        6700.6
     21.076                        6700.6
     21.594                        6734.4
     22.112                        7023.9
     22.629                        7023.9
     23.147                        6730.1
     23.665                        6697.8
     24.182                        6489.3
     24.700                        6367.7
     25.218                        6169.9
     25.735                        6140.3
     26.253                        5903.2
     26.771                        5817.7
     27.288                        5650.4
     27.806                        5573.7
     28.324                        5420.9
     28.841                        5182.9
     29.359                        5012.6
     29.877                        4888.2
     30.395                        4764.9
     30.912                        4646.8
     31.430                        4405.9
     31.948                        4252.1
     32.465                        4188.2
     32.983                        4009.9
     33.501                        3866.2
     34.018                        3602.8
     34.536                        3528.8
     35.054                        3412.6
     35.571                        3370.1
     35.995                        2987.6
     36.513                        2978.3
     37.030                        2877.1
     37.548                        2844.2
     38.066                        2783.7
     38.583                        2734.5
     39.101                        2504.7
     39.619                        2498.9
     40.137                        2329.1
     40.654                        2301.0
     41.172                        2237.0
     41.690                        2192.8
     42.207                        2120.8
     42.725                        2112.9
     43.243                        1966.6
     43.760                        1891.1
     44.278                        1777.7
     44.796                        1752.3
     45.313                        1637.0
     45.831                        1603.0
     46.349                        1562.6
     46.866                        1545.7
     47.384                        1513.0
     47.888                        1475.6
     48.315                        1373.5
     48.796                        1361.5
     49.314                        1329.9
     49.831                        1306.4
     50.349                        1214.4
     50.867                        1182.5
     51.385                        1163.6
     51.902                        1128.4
     53.973                        1005.2
     54.491                        976.70
     55.008                        961.54
     55.526                        944.91
     56.044                        905.08
     56.561                        898.97
     57.079                        872.08
     57.597                        858.49
     58.114                        842.70
     58.632                        829.39
     59.169                        763.49
     59.668                        749.24
     60.185                        727.29
     60.703                        721.25
     61.221                        668.57
     61.738                        662.99
     62.256                        641.23
     62.774                        631.81
     63.291                        610.48
     63.809                        601.35
     64.327                        562.13
     64.844                        558.77
     65.362                        537.84
     65.880                        536.60
     66.398                        536.60
     66.915                        532.35
     67.433                        519.57
     67.951                        502.69
     68.468                        493.89
     68.986                        475.92
     69.504                        456.31
     70.021                        437.77
     70.539                        434.12
     71.057                        423.97
     71.574                        416.49
     72.092                        404.54
     72.610                        399.18
     73.127                        383.56
     73.645                        381.58
     74.163                        371.57
     74.681                        361.90
     75.198                        335.87
     75.716                        334.03
     76.234                        310.60
     76.751                        304.83
     77.269                        294.81
     77.787                        293.08
     78.304                        285.45
     78.822                        283.15
     79.340                        271.73
     79.857                        262.88
     80.375                        249.75
     80.893                        246.84
     81.411                        238.51
     81.928                        238.51
     82.446                        238.51
     82.964                        229.33
     83.481                        219.53
     83.999                        213.13
     84.517                        201.13
     85.034                        188.21
     85.552                        184.27
     86.070                        184.27
     86.587                        184.19
     87.105                        179.50
     87.623                        178.27
     88.140                        171.19
     88.658                        169.60
     89.176                        165.04
     89.694                        161.97
     90.211                        161.97
     90.729                        161.90
     91.247                        157.92
     91.764                        153.93
     92.282                        143.20
     92.800                        141.64
     93.317                        131.22
     93.835                        126.87
     94.353                        120.61
     94.870                        120.61
     95.388                        120.61
     95.906                        120.61
     96.424                        120.61
     96.941                        120.61
     97.459                        120.61
     97.977                        120.61
     98.494                        120.61
     98.847                        119.83
     99.153                        106.17
     99.530                        106.01
     53.066                        1057.6
     52.412                        1074.7
     53.639                        1057.6
     1.3083                        11306
     0.40883                        7576.9
     0.57236                        7456.5
     0.81766                        8612.1

