# ICARUS 90% confidence level limit on sterile neutrinos
# from Neutrino 2014 talk by Christian Farnese, slide 10
#
#   sin^2 2\theta_{mu e}         \Delta m_{41}^2 [eV^2]
      0.00469909                        0.0315432
      0.00480385                        0.0385863
      0.0048987                         0.0273928
      0.00532619                        0.0228487
      0.00557353                        0.0453372
      0.00591462                        0.0190584
      0.00646594                        0.0522065
      0.0064881                         0.110046
      0.0064923                         0.12672
      0.00678751                        0.205547
      0.00685277                        0.0165508
      0.00722958                        0.193487
      0.00725502                        0.416156
      0.00729538                        1.39451
      0.00739417                        0.261784
      0.00743737                        0.931892
      0.00750297                        6.3223
      0.00753181                        0.14592
      0.00759861                        100
      0.0076784                         0.0975122
      0.0078235                         0.0577415
      0.00785975                        0.15817
      0.00793972                        0.0143731
      0.00803275                        0.182135
      0.00908792                        0.0881648
      0.00926822                        0.0638633
      0.00939547                        0.0124819
      0.0100891                         0.0692249
      0.0103112                         0.0797135
      0.0111202                         0.0112854

