# KamLAND data
# from fig. 1 of http://arxiv.org/abs/0801.4589
#
# prompt Energy E_p [MeV]   Observed events   Expected Background
    1.1125                         97              84.83755 
    1.5375                        190             102.88808
    1.9625                        177              58.66426
    2.3875                        159              40.61372
    2.8125                        121              21.66065
    3.2375                        148               4.51264
    3.6625                        158               0.00000
    4.0875                        130               0.90253
    4.5125                        143               4.51264
    4.9375                        106               2.70758
    5.3625                         63               0.00000
    5.7875                         47               6.31769
    6.2125                         44              15.34296
    6.6375                         13               1.80505
    7.0625                          8               0.90253
    7.4875                          2               0.90253
    7.9125                          4               0.90253

