# LSND data from http://arxiv.org/abs/hep-ex/0104049, fig. 24
#
#  Energy [MeV]   Observed events   Expected Background   Error bar
     22.014           1.32546         0.50635             1.36364   
     23.553           0.0622702       1.79092             0.909091 
     25.338          -0.510022        2.53161             1.81818  
     27.436           4.60799         2.76835             2.72727  
     29.936           3.53754         2.61723             2.72727  
     32.967           6.57098         2.03880             3.18182  
     36.717           7.96169         1.77120             3.40909  
     41.479           8.40944         1.62008             3.40909  
     47.729           6.8942          0.96413             3.40909  
     56.300           9.80607         0.50251             3.86364  
     68.800           3.60574         0.04081             2.27273  


