# MINOS far detector efficiency for CC events
# taken from fig. 6 of 1001.0336
#
# E_reco [GeV]   efficiency
   0.50794        0.45652
   1.52381        0.69324
   2.53968        0.77053
   3.55556        0.78986
   5.46032        0.77295
   6.73016        0.79227
   7.61905        0.80918
   8.88889        0.82367
  10.47619        0.84541
  12.31746        0.84300
  14.34921        0.85749
  15.68254        0.85024
  17.58730        0.85990
  19.55556        0.85990
  21.77778        0.86473
  28.12698        0.86473
  32.38095        0.87198
  37.39682        0.86715

