# MINOS near detector efficiency for CC events
# taken from fig. 6 of 1001.0336
#
# E_reco [GeV]   efficiency
    0.50794       0.26329
    1.52381       0.64734
    2.47619       0.74879
    3.55556       0.77295
    4.50794       0.75362
    5.46032       0.74879
    7.55556       0.80435
   13.01587       0.85507
   14.79365       0.85507
   16.25397       0.86715
   17.65079       0.86473
   18.34921       0.87198
   19.74603       0.86957
   27.93651       0.88164
   32.38095       0.88164
   37.33333       0.88889

