# MINOS CC spectrum at the far detector
# taken from fig. 11 of 1001.0336
#
#  E_reco [GeV]     Events      MC prediction   background
     0.5               2          2.66919        0.97466 
     1.5              11         10.91392        1.95508 
     2.5              51         50.15176        0.99884 
     3.5              80         77.76656        0.52647 
     4.5              64         60.10292        0.29739 
     5.5              21         38.32304        0.30775 
     6.5              31         28.64971        0
     7.5              28         25.02926        0
     8.5              22         22.62062        0
     9.5              22         20.93798        0
    10.5              12         19.73922        0
    11.5              21         18.29872        0
    12.5              16         17.58460        0
    13.5              20         16.62797        0
    14.5              19         15.67135        0
    15.5              17         14.23084        0
    16.5              20         13.03208        0
    17.5              11         11.83333        0
    18.5              14         10.63495        0
    19.5               7          9.92045        0

