# MINOS CC spectrum at the near detector
# taken from fig. 8 of 1001.0336
#
#  E_reco [GeV]     Events      MC prediction   background
     0.5           1.96970e4       1.96970e4      0.537190e4
     1.5          20.77135e4      17.90634e4      0.895317e4
     2.5          50.67493e4      45.12397e4      0.537190e4
     3.5          56.04683e4      56.94215e4      0
     4.5          34.91735e4      37.78237e4      0.179063e4
     5.5          20.59229e4      21.66667e4      0
     6.5          14.86226e4      15.22039e4      0.179063e4
     7.5          12.35537e4      12.89256e4      0
     8.5          11.10193e4      11.46006e4      0
     9.5          10.20661e4      10.38567e4      0
    10.5           9.49036e4       9.66942e4      0
    11.5           8.59504e4       8.77411e4      0
    12.5           7.87879e4       8.05785e4      0
    13.5           7.16253e4       7.16253e4      0
    14.5           6.62534e4       6.44628e4      0
    15.5           5.73003e4       5.73003e4      0
    16.5           5.19284e4       5.19284e4      0
    17.5           4.47658e4       4.65565e4      0
    18.5           3.93939e4       4.11846e4      0
    19.5           3.58127e4       3.76033e4      0

