# MINOS total neutrino flux (all flavors) as seen by the far detector
# Extracted from histograms courtesy of Alex Sousa
#
# E_true [GeV]      flux (a.u.)
       0.5        1795.203369
       1.5        34503.30078
       2.5        93767.28125
       3.5        134965.9531
       4.5        91293.64844
       5.5        49429.31641
       6.5        34889.48047
       7.5         31153.6543
       8.5        28696.58008
       9.5        25685.23438
      10.5         24816.9043
      11.5        23232.94141
      12.5        22352.42188
      13.5        21095.09766
      14.5        19349.64258
      15.5        18491.69336
      16.5        17006.33594
      17.5        15797.94824
      18.5        14398.76465
      19.5        12973.57715
      20.5        11927.41602
      21.5          11345.375
      22.5        10023.79883
      23.5        9462.921875
      24.5        8309.826172
      25.5        7782.004395
      26.5        6797.325684
      27.5         6575.39502
      28.5        5639.795898
      29.5        4869.354492
      30.5        4515.194824
      31.5        4117.469238
      32.5        3784.774902
      33.5         3302.16333
      34.5        3024.758301
      35.5        2958.858398
      36.5        2635.618408
      37.5        2321.204102
      38.5        2292.287109
      39.5        2274.328613
      40.5        2154.855957
      41.5        1874.952759
      42.5        1822.836426
      43.5        1829.096436
      44.5        1821.125854
      45.5        1608.666748
      46.5        1652.197388
      47.5        1495.613647
      48.5        1540.473999
      49.5        1500.000244
      50.5        1323.828125
      51.5        1288.880371
      52.5        1228.316895
      53.5        1143.193359
      54.5        1123.713501
      55.5        1123.960205
      56.5        1010.069641
      57.5        1029.598022
      58.5        926.4503784
      59.5         936.699585
      60.5        915.7766724
      61.5        771.0101929
      62.5          762.31073
      63.5        702.8189087
      64.5        707.4639282
      65.5        672.4500732
      66.5        665.1281128
      67.5        542.8301392
      68.5        551.7644043
      69.5        526.0076294
      70.5        455.1435547
      71.5        368.2641602
      72.5         372.255127
      73.5        380.6334534
      74.5         309.988678
      75.5        258.2310181
      76.5        239.5311127
      77.5         196.618866
      78.5        190.1708374
      79.5        235.1607056
      80.5        184.8057709
      81.5        131.5736847
      82.5        144.7748413
      83.5        159.2815704
      84.5        132.8383484
      85.5        78.56116486
      86.5        94.44241333
      87.5        83.22698212
      88.5        65.59163666
      89.5        51.99485397
      90.5        53.18741989
      91.5        33.41506577
      92.5        19.12300682
      93.5        16.64117622
      94.5         20.3596077
      95.5        13.15871811
      96.5        3.118920326
      97.5        6.444914818
      98.5        3.151871681
      99.5        12.34827518
     100.5                  0
     101.5        6.253693104
     102.5        3.050648451
     103.5                  0
     104.5        1.608819485
     105.5        4.988846302
     106.5        4.941808701
     107.5                  0
     108.5                  0
     109.5                  0
     110.5                  0
     111.5                  0
     112.5                  0
     113.5                  0
     114.5                  0
     115.5                  0
     116.5                  0
     117.5                  0
     118.5                  0
     119.5                  0
