# MINOS total neutrino flux (all flavors) as seen by the near detector
# Extracted from histograms courtesy of Alex Sousa
#
# E_true [GeV]      flux (a.u.)
       0.5        904.6514893
       1.5        21746.32422
       2.5        80858.65625
       3.5        120254.6406
       4.5        66873.10938
       5.5        39526.91406
       6.5        31879.26172
       7.5        28629.32031
       8.5        26596.85156
       9.5        24289.81055
      10.5        22604.17773
      11.5        20411.46289
      12.5        19230.96289
      13.5        17120.38867
      14.5        15380.06055
      15.5        13969.32715
      16.5         12590.8584
      17.5        11847.17383
      18.5        10477.22754
      19.5        9413.587891
      20.5        8510.192383
      21.5        7996.930664
      22.5        7297.687988
      23.5        6634.946289
      24.5        5967.479004
      25.5         5385.71582
      26.5        4803.247559
      27.5        4448.466309
      28.5        3921.778809
      29.5        3668.356689
      30.5        3307.386475
      31.5        3130.947021
      32.5        2837.043945
      33.5        2680.919189
      34.5        2485.389404
      35.5        2401.151367
      36.5        2134.804932
      37.5        1959.741699
      38.5        1859.134399
      39.5        1811.355835
      40.5        1724.662964
      41.5        1752.392334
      42.5        1749.810425
      43.5        1628.385742
      44.5        1553.559692
      45.5        1462.654785
      46.5        1412.668457
      47.5        1386.963501
      48.5        1395.792236
      49.5        1237.719604
      50.5        1191.033081
      51.5        1176.445068
      52.5        1095.796021
      53.5        1047.858643
      54.5        1004.851868
      55.5        1044.208984
      56.5        978.2526245
      57.5        866.6049805
      58.5        835.0002441
      59.5        800.5102539
      60.5        750.9170532
      61.5         704.894165
      62.5        576.5253906
      63.5         637.335022
      64.5        565.4595947
      65.5        535.5131226
      66.5         476.709198
      67.5        452.1705933
      68.5        409.9228516
      69.5        399.3645325
      70.5         374.098999
      71.5        310.2819824
      72.5        279.5704346
      73.5        243.1178589
      74.5          251.46492
      75.5        204.1473999
      76.5        184.5753479
      77.5        195.9039459
      78.5        123.0775604
      79.5        156.5594177
      80.5        142.1166077
      81.5        105.3150558
      82.5        115.1500473
      83.5        80.58046722
      84.5        88.26747894
      85.5        68.35453033
      86.5        61.27283859
      87.5        63.70129776
      88.5        43.98662949
      89.5        48.20742798
      90.5        33.34405136
      91.5        26.28412628
      92.5        21.82425117
      93.5        13.33988094
      94.5        4.210750103
      95.5        18.51589966
      96.5        13.02621746
      97.5        7.943781376
      98.5        4.844854355
      99.5        6.397848129
     100.5        4.602781296
     101.5        6.429901123
     102.5        4.254365444
     103.5        1.654064298
     104.5                  0
     105.5                  0
     106.5        3.313795567
     107.5        1.646178722
     108.5         1.64617753
     109.5                  0
     110.5                  0
     111.5                  0
     112.5                  0
     113.5                  0
     114.5                  0
     115.5                  0
     116.5                  0
     117.5                  0
     118.5                  0
     119.5                  0
