# MINOS far detector purity for NC selected events
# Extracted from histograms courtesy of Alex Sousa
#
# E_reco [GeV]      purity
       0.5       0.9122148695
       1.5       0.8194127814
       2.5        0.697342342
       3.5       0.6064491311
       4.5        0.563794875
       5.5       0.5627786418
       6.5       0.5595812048
       7.5       0.5467908899
       8.5       0.5286189165
       9.5       0.5053577917
      10.5       0.4931135814
      11.5       0.4717134214
      12.5        0.465139801
      13.5       0.4438211286
      14.5       0.4299955451
      15.5       0.4221681569
      16.5       0.4014114332
      17.5       0.4030080305
      18.5       0.3955865398
      19.5       0.3789540989
      20.5       0.3739739039
      21.5       0.3704376318
      22.5       0.3695462436
      23.5       0.3593707727
      24.5       0.3652376326
      25.5       0.3484030782
      26.5       0.3570794246
      27.5       0.3346229206
      28.5       0.3452487451
      29.5       0.3343658737
      30.5       0.3400335308
      31.5       0.3325627551
      32.5       0.3245590909
      33.5       0.3279197699
      34.5       0.3057755273
      35.5       0.3116527071
      36.5       0.3324977541
      37.5       0.3190486754
      38.5       0.3191738681
      39.5       0.2881749863
      40.5       0.3176863741
      41.5       0.2988883441
      42.5        0.311362888
      43.5       0.2897376616
      44.5       0.2831581227
      45.5       0.2904915415
      46.5       0.2955135515
      47.5       0.2642912226
      48.5       0.2838488554
      49.5       0.2664122491
      50.5       0.3125619086
      51.5        0.260529615
      52.5       0.2433450893
      53.5       0.2449566184
      54.5       0.2484188842
      55.5       0.2630180354
      56.5        0.254351404
      57.5       0.2441397751
      58.5       0.2375018955
      59.5       0.2840438548
      60.5       0.2228209718
      61.5       0.2512103984
      62.5       0.2018499422
      63.5       0.2370805709
      64.5         0.22234056
      65.5       0.2285722697
      66.5       0.2023413954
      67.5       0.2150531421
      68.5       0.1926303253
      69.5       0.2226839999
      70.5       0.2367286734
      71.5       0.1446063458
      72.5       0.1374436502
      73.5       0.2101544048
      74.5       0.2290578713
      75.5       0.1396988886
      76.5       0.2730758985
      77.5       0.2052412246
      78.5       0.2279088014
      79.5       0.1331989201
      80.5       0.1532480269
      81.5      0.09764481491
      82.5       0.1601952099
      83.5       0.3087169414
      84.5       0.2152393215
      85.5       0.2632859302
      86.5        0.196041051
      87.5      0.06394486547
      88.5        0.220314354
      89.5       0.1106384974
      90.5                  0
      91.5       0.1928478185
      92.5       0.2937658339
      93.5       0.2665917134
      94.5                  0
      95.5                  0
      96.5                  0
      97.5                  0
      98.5                nan
      99.5                  1
     100.5                nan
     101.5                  1
     102.5                nan
     103.5                nan
     104.5                nan
     105.5                nan
     106.5                nan
     107.5                  0
     108.5                nan
     109.5                nan
     110.5                nan
     111.5                nan
     112.5                nan
     113.5                nan
     114.5                nan
     115.5                nan
     116.5                nan
     117.5                nan
     118.5                nan
     119.5                nan
