# MINOS far detector purity for NC events
# taken from fig. 5 of 1001.0336
#
# E_reco [GeV]   efficiency
   0.50713        0.88889
   1.58479        0.74879
   2.72583        0.56763
   3.67670        0.47343
   4.43740        0.42995
   5.45166        0.45894
   6.40254        0.51932
   7.54358        0.57005
   8.55785        0.57246
   9.95246        0.58937
  10.83994        0.58696
  12.10777        0.58213
  14.45325        0.55314
  15.53090        0.55797
  17.43265        0.52657
  18.51030        0.52899
  22.63074        0.51449
  27.13154        0.50483
  32.01268        0.48551
  37.46434        0.47826

