# MINOS near detector purity for NC selected events
# Extracted from histograms courtesy of Alex Sousa
#
# E_reco [GeV]      purity
       0.5       0.8072331411
       1.5       0.7129368172
       2.5       0.5763318068
       3.5       0.4877208431
       4.5       0.4765651893
       5.5       0.5212079892
       6.5       0.5642976229
       7.5       0.5813474045
       8.5        0.598069384
       9.5       0.5869115411
      10.5       0.5875477003
      11.5       0.5829729945
      12.5       0.5682217777
      13.5       0.5726111541
      14.5       0.5630150763
      15.5       0.5549576177
      16.5       0.5737231832
      17.5       0.5513702792
      18.5       0.5484940291
      19.5       0.5394434463
      20.5       0.5429159992
      21.5       0.5512493922
      22.5       0.5293888662
      23.5       0.5276392664
      24.5       0.5150490753
      25.5       0.5059979392
      26.5        0.503321373
      27.5       0.4981367918
      28.5       0.4877722659
      29.5       0.4864350957
      30.5       0.4756728227
      31.5       0.5049746635
      32.5       0.4966240374
      33.5       0.4874300693
      34.5       0.4994360084
      35.5       0.5129901718
      36.5       0.4795546449
      37.5       0.4926783918
      38.5       0.4967526473
      39.5       0.4977234671
      40.5       0.4863986421
      41.5       0.4909349644
      42.5       0.4686743688
      43.5       0.4577669038
      44.5       0.4783618579
      45.5       0.4947229077
      46.5       0.4576982441
      47.5       0.5242867117
      48.5       0.4720405287
      49.5       0.4947825904
      50.5       0.4632679335
      51.5       0.4660307267
      52.5       0.4715706449
      53.5       0.4459112321
      54.5       0.4458759036
      55.5        0.491411683
      56.5       0.4500611808
      57.5       0.4553130102
      58.5       0.5413335375
      59.5       0.4921692245
      60.5       0.4801154367
      61.5       0.4953926935
      62.5       0.4134186843
      63.5       0.4148881253
      64.5       0.5275571056
      65.5       0.4458029372
      66.5       0.4036958527
      67.5       0.4962127898
      68.5       0.4826898308
      69.5       0.4569471698
      70.5       0.3808005692
      71.5       0.4969601695
      72.5       0.4742121723
      73.5       0.4969808174
      74.5       0.3618190575
      75.5       0.3571142025
      76.5       0.5091997924
      77.5       0.6451207148
      78.5       0.3248531004
      79.5        0.487969769
      80.5       0.4475349723
      81.5       0.6303793393
      82.5       0.5315908598
      83.5       0.1709944445
      84.5         0.15260193
      85.5       0.5497753566
      86.5                  1
      87.5       0.3824561948
      88.5       0.5045773949
      89.5                  0
      90.5       0.3192967653
      91.5                nan
      92.5                nan
      93.5                  1
      94.5                nan
      95.5       0.3865955928
      96.5                  1
      97.5                  0
      98.5                nan
      99.5                  0
     100.5                  0
     101.5                nan
     102.5                nan
     103.5                nan
     104.5                nan
     105.5                nan
     106.5                nan
     107.5                nan
     108.5                nan
     109.5                nan
     110.5                nan
     111.5                nan
     112.5                nan
     113.5                nan
     114.5                nan
     115.5                nan
     116.5                nan
     117.5                nan
     118.5                nan
     119.5                nan
