# MINOS near detector purity for NC events
# taken from fig. 5 of 1001.0336
#
# E_reco [GeV]   efficiency
   0.57052        0.78744
   1.58479        0.75121
   2.78922        0.56522
   3.61331        0.47101
   4.62758        0.42512
   5.57845        0.46135
   6.40254        0.52415
   7.48019        0.56763
   9.38193        0.58454
  10.45959        0.57971
  11.28368        0.58696
  12.61490        0.57246
  13.62916        0.57729
  15.34073        0.56522
  17.24247        0.56763
  19.65135        0.54348
  27.13154        0.52657
  32.64659        0.50000
  37.40095        0.50000

