# MINOS NC spectrum at the far detector
# taken from http://www-numi.fnal.gov/PublicInfo/plots/ncdata-label.png
# (plot shown at Neutrino 2010)
#
#  E_reco [GeV]     Events      MC prediction   background
      0.5             92          80.52023        4.04624
      1.5            129         109.24856        8.49711
      2.5            106          98.72832       20.63584
      3.5            100          90.63584       30.34682
      4.5             73          65.95376       25.49133
      5.5             47          46.93642       17.39884
      6.5             52          34.79769       11.73410
      7.5             27          29.13295        9.30636
      8.5             22          24.27746        7.68786
      9.5             21          20.63584        6.87861
     10.5             10          18.20809        5.66474
     11.5             16          16.18497        5.26012
     12.5             12          13.75723        4.45087
     13.5              8          12.54335        4.04624
     14.5              9          11.32948        4.45087
     15.5             10          10.11561        3.23699
     16.5              2           8.09249        2.83237
     17.5              8           7.28324        2.42775
     18.5              8           6.47399        2.42775
     19.5              2           5.66474        2.02312

