# MINOS NC spectrum at the near detector
# taken from http://www-numi.fnal.gov/PublicInfo/plots/ncspectrum-label.png
# (plot shown at Neutrino 2010)
#
#  E_reco [GeV]     Events      MC prediction   background
     0.5           23.07692e4    26.27219e4      5.14793e4   
     1.5           45.44379e4    50.05917e4     14.37870e4 
     2.5           47.04142e4    49.34911e4     21.12426e4 
     3.5           41.36095e4    43.49112e4     22.18935e4 
     4.5           28.40237e4    30.71006e4     16.15385e4 
     5.5           17.92899e4    18.99408e4      9.05325e4  
     6.5           12.78106e4    13.31361e4      6.03550e4  
     7.5            9.76331e4    10.29586e4      4.26035e4  
     8.5            7.98817e4     8.16568e4      3.19527e4  
     9.5            6.56805e4     6.56805e4      2.84024e4  
    10.5            5.50296e4     5.50296e4      2.30769e4  
    11.5            4.61538e4     4.79290e4      1.95266e4  
    12.5            4.08284e4     4.08284e4      1.77515e4  
    13.5            3.55030e4     3.55030e4      1.59763e4  
    14.5            3.01775e4     3.01775e4      1.24260e4  
    15.5            2.66272e4     2.66272e4      1.42012e4  
    16.5            2.48521e4     2.48521e4      1.06509e4  
    17.5            2.13018e4     2.13018e4      1.06509e4  
    18.5            1.77515e4     1.77515e4      0.88757e4  
    19.5            1.77515e4     1.77515e4      0.71006e4  

