# MINOS far detector CC \nu_\mu data from 1103.0340, fig. 2
#
# E [GeV]    Events / GeV   MC expectation (no osc.)  Background  MC expectation (bf. osc.)
   0.5          8.59002             8.61103             3.14466          3.9244
   1.125       19.5228             68.768               5.51424         14.8863
   1.375       11.7137            114.071               7.86747         18.8026
   1.625       31.2364            158.595               7.09824         31.3076
   1.875       50.7592            205.459               7.10874         56.3061
   2.125       96.0521            247.641               6.33834         89.897
   2.375       99.9566            287.478               7.12975        126.611
   2.625      183.514             318.725               5.57727        161.762
   2.875      203.037             342.945               5.59011        193.79
   3.125      243.644             355.449               4.82087        216.448
   3.375      231.931             349.993               4.83021        228.172
   3.625      256.139             335.166               4.06214        231.306
   3.875      216.312             308.627               4.85355        221.165
   4.125      228.026             275.84                3.30341        203.996
   4.375      211.627             240.709               4.09249        184.484
   4.625      127.289             211.047               1.76143        164.972
   4.875      135.879             182.944               3.33492        148.584
   5.25       110.889             154.848               2.56452        129.858
   5.75        78.872             127.537               2.57502        109.575
   6.25        91.3666            113.503               1.80228        100.227
   6.75        81.2148            102.591               1.81395         93.2214
   7.25       103.861              97.9279              1.04472         90.8997
   7.75        74.1866             94.8241              1.05522         89.3577
   8.25        83.5575             91.7226              1.84547         87.8192
   8.75       102.299              89.4021              1.85831         84.7166
   9.25        81.9957             87.0815              1.08907         83.959
   9.75        96.0521             83.98                1.10075         80.0755
   10.5        86.6811             79.3132              1.11242         76.9717
   11.5        64.8156             74.6453              1.90384         71.5205
   12.5        68.7202             68.4155              0               67.6334
   13.5        51.5401             60.6227              0               59.843
   14.5        56.2256             55.1739              0               54.3941
   15.5        63.2538             49.7262              0               48.9453
   16.5        46.8547             44.2761              0               44.2761
   17.5        42.9501             40.3879              0               41.1688
   18.5        40.6074             36.5009              0               36.4997
   19.5        32.7983             33.3971              0               33.3971
   25.0        16.3991             19.3909              0               19.3932
   40.0         5.46638             6.20176             0                6.2041


