# MINOS near detector CC \nu_\mu data + MC
# from 1103.0340, fig. 1
#
# E [GeV]  Events / GeV / 1e16 pot  MC expectation  Background
  0.25         0.0542892              0.0549451      0.0549451
  0.75         1.04191                0.934066       0.21978
  1.25         4.55701                4.06593        0.384615
  1.75         10.3798                9.23077        0.494505
  2.25         16.6422                15.4396        0.549451
  2.75         21.4211                20.6593        0.659341
  3.25         22.0241                21.978         0.714286
  3.75         18.3414                19.011         0.659341
  4.25         13.395                 14.2308        0.714286
  4.75         9.54743                10.1648        0.769231
  5.25         7.23834                7.63736        0.769231
  5.75         5.9732                 6.20879        0.769231
  6.25         5.20266                5.32967        0.879121
  6.75         4.7617                 4.83516        0.934066
  7.25         4.48558                4.50549        1.04396
  7.75         4.31935                4.23077        0.879121
  8.25         4.09826                4.01099        0.879121
  8.75         3.93203                3.79121        0.769231
  9.25         3.711                  3.57143        0.824176
  9.75         3.54471                3.35165        0.824176
  10.25        3.37848                3.24176        0.769231
  10.75        3.21225                3.07692        0.769231
  11.25        3.04602                2.96703        0.659341
  11.75        2.87987                2.8022         0.604396
  12.25        2.76858                2.63736        0.604396
  12.75        2.6573                 2.58242        0.549451
  13.25        2.54601                2.41758        0.604396
  13.75        2.43481                2.30769        0.549451
  14.25        2.26858                2.14286        0.43956
  14.75        2.1573                 2.08791        0.494505
  15.25        1.99107                2.03297        0.384615
  15.75        1.87987                1.86813        0.384615
  16.25        1.76858                1.86813        0.32967
  16.75        1.6573                 1.7033         0.32967
  17.25        1.54609                1.59341        0.384615
  17.75        1.48975                1.48352        0.384615
  18.25        1.43341                1.42857        0.32967
  18.75        1.32213                1.37363        0.274725
  19.25        1.26587                1.31868        0.274725
  19.75        1.15459                1.26374        0.274725

