# MINOS fit of a 3+1 sterile neutrino model with m4 >> m3 and th13=0
# taken from fig. 14, left panel, of 1001.0336
#
# th23 [deg]    \Delta\chi^2
  32.49518        3.48792
  33.71094        2.43135
  34.81063        1.67472
  35.46782        1.31788
  36.55780        0.91840
  37.64741        0.53320
  38.94896        0.29096
  40.24739        0.16300
  41.97671        0.06382
  43.38034        0.03592
  45.10694        0.03674
  47.58854        0.05221
  49.52863        0.13885
  51.35848        0.31115
  52.42984        0.59738
  53.60717        0.95509
  54.67232        1.46989
  55.73552        2.05612
  56.36631        2.67071
  57.20748        3.48541

