# MINOS fit of a 3+1 sterile neutrino model with m4 >> m3 and th13=12 deg
# taken from fig. 14, middle panel, of 1001.0336
#
# th34 [deg]    \Delta\chi^2
   0.22305        0.20096
   4.46097        0.18660
   6.69145        0.17225
  10.26022        0.11483
  13.60595        0.08612
  17.39777        0.02871
  20.52045        0.01435
  25.65056        0.01435
  29.66543        0.07177
  33.45725        0.18660
  36.57993        0.33014
  39.25650        0.51675
  42.15614        0.76077
  44.38662        1.01914
  46.84015        1.26316
  50.18587        1.75120
  53.30855        2.23923
  56.43123        2.78469
  58.66171        3.15789
  60.44610        3.47368

