# MINOS 90% Exclusion limit on sterile neutrinos
# from Alex Sousa's talk at Neutrino 2014, slide 32
#
#       sin^2 2\theta_{\mu e}          \Delta m_{41}^2 [eV^2]
            0.0530301                        0.017302
            0.0605128                        0.018277
            0.0605128                        0.0159361
            0.066079                         0.00562341
            0.0675488                        0.0150859
            0.0675488                        0.019307
            0.0690513                        0.00503942
            0.0690513                        0.0343332
            0.0690513                        0.0061054
            0.069815                         0.0404709
            0.0713679                        0.0372759
            0.0721573                        0.0307677
            0.0729554                        0.0439397
            0.0745781                        0.020395
            0.0745781                        0.014678
            0.075403                         0.0803086
            0.076237                         0.0066287
            0.076237                         0.00451608
            0.076237                         0.163789
            0.0787947                        0.0739686
            0.0787947                        0.0848343
            0.0805473                        0.0490316
            0.0805473                        0.0291263
            0.0832496                        0.0209618
            0.0832496                        0.0142811
            0.0841704                        0.00415956
            0.0851013                        0.00700226
            0.0851013                        0.150859
            0.0851013                        0.17302
            0.0869942                        0.0921055
            0.0879564                        0.0700226
            0.0889292                        0.0275725
            0.0899128                        0.0517947
            0.0919128                        0.0221431
            0.0939572                        0.247091
            0.0949964                        0.00719686
            0.0949964                        0.18277
            0.0949964                        0.14678
            0.0971094                        0.102779
            0.0971094                        0.490316
            0.0981834                        0.299358
            0.0992694                        0.0036268
            0.0992694                        0.451608
            0.100367                         0.24041
            0.1026                           0.577969
            0.103735                         0.013895
            0.104882                         0.13895
            0.104882                         0.00760243
            0.106042                         0.760243
            0.107215                         0.108571
            0.110812                         0.972961
            0.113277                         0.00334048
            0.115796                         0.0135192
            0.117077                         0.00781371
            0.117077                         1.2452
            0.121005                         0.00307677
            0.123696                         1.55052
            0.125064                         9.72961
            0.125064                         8.48343
            0.127846                         0.0131537
            0.13069                          0.00803086
            0.132135                         1.9307
            0.139606                         10.2779
            0.139606                         8.03086
            0.142711                         0.012798
            0.142711                         2.33909
            0.14429                          0.00848343
            0.154134                         10.8571
            0.154134                         7.39686
            0.157562                         2.61016
            0.159305                         0.012452
            0.161067                         0.00896151
            0.172056                         7.19686
            0.172056                         11.1588
            0.173959                         2.91263
            0.177828                         0.0121153
            0.179795                         0.00921055
            0.18996                          7.00226
            0.192061                         3.25016
            0.192061                         11.469
            0.196333                         0.011469
            0.198505                         0.01
            0.207434                         0.0108571
            0.212047                         6.6287
            0.212047                         11.7877
            0.214393                         3.52874
            0.234114                         6.27508
            0.236703                         12.1153
            0.236703                         3.83119
            0.261335                         5.94032
            0.261335                         4.15956
            0.264225                         12.452
            0.282252                         19.307
            0.28853                          5.03942
            0.294948                         13.1537
            0.308215                         21.5443
            0.308215                         18.277
            0.325641                         13.5192
            0.344052                         17.302
            0.344052                         22.1431
            0.379855                         23.3909
            0.388304                         15.5052
            0.424022                         24.041
            0.468147                         43.9397
            0.468147                         26.827
            0.489205                         47.7058
            0.500086                         33.4048
            0.546086                         50.3942
            0.558233                         97.2961
            0.602913                         54.7136
            0.630033                         89.6151
            0.673016                         57.7969
            0.718932                         84.8343
            0.743052                         62.7508
            0.802525                         73.9686



