# MINOS sterile neutrino search (Neutrion 2016)
# far/near ratio from fig. 2 of https://arxiv.org/abs/1607.01176
# CC events
#
#  E [GeV]    3-flavor fit     data        error
     0.5       0.11009e-3   0.19758e-3   0.05843e-3
     1.1       0.07994e-3   0.08964e-3   0.03839e-3
     1.3       0.05520e-3   0.03586e-3   0.01981e-3
     1.5       0.05152e-3   0.05922e-3   0.02367e-3
     1.7       0.06108e-3   0.06566e-3   0.01787e-3
     1.9       0.07561e-3   0.06566e-3   0.02073e-3
     2.1       0.09447e-3   0.08543e-3   0.01511e-3
     2.3       0.11506e-3   0.08975e-3   0.01520e-3
     2.5       0.13115e-3   0.11605e-3   0.02073e-3
     2.7       0.14862e-3   0.16580e-3   0.02237e-3
     2.9       0.16489e-3   0.16865e-3   0.02246e-3
     3.1       0.18236e-3   0.22289e-3   0.02532e-3
     3.3       0.20296e-3   0.25490e-3   0.02935e-3
     3.5       0.21757e-3   0.20259e-3   0.02659e-3
     3.7       0.24452e-3   0.28451e-3   0.03439e-3
     3.9       0.26494e-3   0.33535e-3   0.03662e-3
     4.1       0.28682e-3   0.31520e-3   0.03635e-3
     4.3       0.31283e-3   0.35768e-3   0.04527e-3
     4.5       0.33554e-3   0.35474e-3   0.05033e-3
     4.7       0.35237e-3   0.28873e-3   0.04517e-3
     4.9       0.37425e-3   0.33765e-3   0.05547e-3
     5.5       0.39532e-3   0.36386e-3   0.02973e-3
     6.5       0.41287e-3   0.38086e-3   0.03396e-3
     7.5       0.43200e-3   0.42904e-3   0.04086e-3
     8.5       0.45830e-3   0.47014e-3   0.04223e-3
     9.5       0.47807e-3   0.52927e-3   0.05050e-3
    10.5       0.50501e-3   0.52550e-3   0.05445e-3
    11.5       0.53214e-3   0.46555e-3   0.05483e-3
    12.5       0.54593e-3   0.63141e-3   0.06650e-3
    13.5       0.55687e-3   0.55969e-3   0.06282e-3
    14.5       0.56349e-3   0.58148e-3   0.06989e-3
    15.5       0.57305e-3   0.66194e-3   0.07596e-3
    16.5       0.56220e-3   0.54921e-3   0.07128e-3
    17.5       0.55999e-3   0.61302e-3   0.08204e-3
    18.5       0.55346e-3   0.67628e-3   0.08820e-3
    19.5       0.53663e-3   0.65567e-3   0.09033e-3
    21         0.52855e-3   0.59343e-3   0.06294e-3
    23         0.50722e-3   0.45460e-3   0.06358e-3
    25         0.50051e-3   0.40780e-3   0.06349e-3
    27         0.47080e-3   0.48218e-3   0.07490e-3
    29         0.45020e-3   0.45037e-3   0.07582e-3
    32.5       0.42079e-3   0.50674e-3   0.05419e-3
    37.5       0.37133e-3   0.39898e-3   0.06670e-3


