# MINOS sterile neutrino search (Neutrion 2016)
# far/near ratio from fig. 2 of https://arxiv.org/abs/1607.01176
# NC events
#
#  E [GeV]    3-flavor fit     data      error
     0.5      0.28709e-3    0.33369e-3   0.02814e-3
     1.1      0.22619e-3    0.30551e-3   0.04412e-3
     1.3      0.20593e-3    0.19701e-3   0.03302e-3
     1.5      0.19037e-3    0.21231e-3   0.03426e-3
     1.7      0.18603e-3    0.20336e-3   0.03287e-3
     1.9      0.17673e-3    0.15623e-3   0.02860e-3
     2.1      0.17514e-3    0.18407e-3   0.03025e-3
     2.3      0.17734e-3    0.17201e-3   0.03012e-3
     2.5      0.17349e-3    0.19943e-3   0.03335e-3
     2.7      0.17349e-3    0.19116e-3   0.03177e-3
     2.9      0.17789e-3    0.17649e-3   0.03183e-3
     3.1      0.17789e-3    0.17098e-3   0.03086e-3
     3.3      0.17955e-3    0.19522e-3   0.03336e-3
     3.5      0.18072e-3    0.24732e-3   0.03879e-3
     3.7      0.18409e-3    0.18028e-3   0.03536e-3
     3.9      0.18243e-3    0.19483e-3   0.03562e-3
     4.1      0.18292e-3    0.20743e-3   0.03928e-3
     4.3      0.18885e-3    0.21997e-3   0.04307e-3
     4.5      0.19216e-3    0.17644e-3   0.04168e-3
     4.7      0.19498e-3    0.14571e-3   0.03858e-3
     4.9      0.19608e-3    0.14895e-3   0.04182e-3
     6.5      0.22013e-3    0.24740e-3   0.01723e-3
     9.5      0.25244e-3    0.20875e-3   0.02405e-3
     12.5     0.27717e-3    0.25848e-3   0.03267e-3
     15.5     0.29516e-3    0.26785e-3   0.04294e-3
     18.5     0.30067e-3    0.29789e-3   0.05624e-3
     22.5     0.29075e-3    0.24030e-3   0.04734e-3
     27.5     0.27601e-3    0.39489e-3   0.07717e-3
     35       0.25753e-3    0.29755e-3   0.06491e-3
