# MINOS spectrum from https://arxiv.org/abs/1304.6335
# fig. 1 (upper left panel), no oscillations
#
#   E [GeV]       Events/GeV
    0.25            0.34947
    0.75           22.22385
    1.25          118.12807
    1.75          251.95004
    2.25          378.71783
    2.75          469.51593
    3.25          499.80994
    3.75          452.17822
    4.25          358.00195
    4.75          268.21994
    5.25          207.35352
    5.75          166.99594
    6.25          145.83997
    6.75          128.58635
    7.25          120.60028
    7.75          117.79156
    8.25          112.03821
    8.75          106.28487
    9.375         101.54111
   10.125          96.49963
   10.875          92.40305
   11.625          87.43277
   12.5            82.82494
   13.5            74.40522

