sin^{2}(2\theta),|Delta m^{2}|,Likelihood
0.8,0.002,37.0817
0.8,0.00201,36.2359
0.8,0.00202,35.4007
0.8,0.00203,34.5764
0.8,0.00204,33.7631
0.8,0.00205,32.9608
0.8,0.00206,32.1696
0.8,0.00207,31.3898
0.8,0.00208,30.6213
0.8,0.00209,29.8642
0.8,0.0021,29.1187
0.8,0.00211,28.3849
0.8,0.00212,27.663
0.8,0.00213,26.9529
0.8,0.00214,26.2546
0.8,0.00215,25.5683
0.8,0.00216,24.894
0.8,0.00217,24.2318
0.8,0.00218,23.5817
0.8,0.00219,22.944
0.8,0.0022,22.3186
0.8,0.00221,21.7056
0.8,0.00222,21.1051
0.8,0.00223,20.5172
0.8,0.00224,19.9421
0.8,0.00225,19.3811
0.8,0.00226,18.8329
0.8,0.00227,18.2974
0.8,0.00228,17.7748
0.8,0.00229,17.2652
0.8,0.0023,16.7685
0.8,0.00231,16.2849
0.8,0.00232,15.8144
0.8,0.00233,15.3571
0.8,0.00234,14.913
0.8,0.00235,14.4822
0.8,0.00236,14.0647
0.8,0.00237,13.6605
0.8,0.00238,13.2657
0.8,0.00239,12.8837
0.8,0.0024,12.5153
0.8,0.00241,12.1604
0.8,0.00242,11.8192
0.8,0.00243,11.4916
0.8,0.00244,11.1777
0.8,0.00245,10.8775
0.8,0.00246,10.591
0.8,0.00247,10.3184
0.8,0.00248,10.0595
0.8,0.00249,9.81441
0.8,0.0025,9.5832
0.8,0.00251,9.36586
0.8,0.00252,9.16219
0.8,0.00253,8.97236
0.8,0.00254,8.79649
0.8,0.00255,8.63455
0.8,0.00256,8.48654
0.8,0.00257,8.35248
0.8,0.00258,8.23239
0.8,0.00259,8.12627
0.8,0.0026,8.03414
0.8,0.00261,7.95601
0.8,0.00262,7.89188
0.8,0.00263,7.84176
0.8,0.00264,7.80566
0.8,0.00265,7.78359
0.8,0.00266,7.77553
0.8,0.00267,7.77759
0.8,0.00268,7.79338
0.8,0.00269,7.82319
0.8,0.0027,7.86703
0.8,0.00271,7.92489
0.8,0.00272,7.99678
0.8,0.00273,8.08267
0.8,0.00274,8.18257
0.8,0.00275,8.29647
0.8,0.00276,8.42435
0.8,0.00277,8.5662
0.8,0.00278,8.72202
0.8,0.00279,8.89177
0.8,0.0028,9.07546
0.805,0.002,36.1971
0.805,0.00201,35.3521
0.805,0.00202,34.518
0.805,0.00203,33.6948
0.805,0.00204,32.8828
0.805,0.00205,32.082
0.805,0.00206,31.2924
0.805,0.00207,30.5143
0.805,0.00208,29.7477
0.805,0.00209,28.9927
0.805,0.0021,28.2495
0.805,0.00211,27.518
0.805,0.00212,26.7986
0.805,0.00213,26.0911
0.805,0.00214,25.3956
0.805,0.00215,24.7123
0.805,0.00216,24.041
0.805,0.00217,23.3821
0.805,0.00218,22.7355
0.805,0.00219,22.1013
0.805,0.0022,21.4797
0.805,0.00221,20.8706
0.805,0.00222,20.2742
0.805,0.00223,19.6906
0.805,0.00224,19.1199
0.805,0.00225,18.5635
0.805,0.00226,18.02
0.805,0.00227,17.4894
0.805,0.00228,16.9719
0.805,0.00229,16.4675
0.805,0.0023,15.9763
0.805,0.00231,15.4983
0.805,0.00232,15.0336
0.805,0.00233,14.5822
0.805,0.00234,14.1442
0.805,0.00235,13.7196
0.805,0.00236,13.3086
0.805,0.00237,12.911
0.805,0.00238,12.5229
0.805,0.00239,12.1479
0.805,0.0024,11.7865
0.805,0.00241,11.4389
0.805,0.00242,11.105
0.805,0.00243,10.785
0.805,0.00244,10.4789
0.805,0.00245,10.1866
0.805,0.00246,9.9083
0.805,0.00247,9.64392
0.805,0.00248,9.39351
0.805,0.00249,9.1571
0.805,0.0025,8.93471
0.805,0.00251,8.72636
0.805,0.00252,8.53182
0.805,0.00253,8.35135
0.805,0.00254,8.18497
0.805,0.00255,8.0327
0.805,0.00256,7.89453
0.805,0.00257,7.77049
0.805,0.00258,7.6606
0.805,0.00259,7.56486
0.805,0.0026,7.48329
0.805,0.00261,7.41589
0.805,0.00262,7.36268
0.805,0.00263,7.32366
0.805,0.00264,7.29884
0.805,0.00265,7.28822
0.805,0.00266,7.2918
0.805,0.00267,7.30557
0.805,0.00268,7.33324
0.805,0.00269,7.37511
0.805,0.0027,7.43119
0.805,0.00271,7.50148
0.805,0.00272,7.58597
0.805,0.00273,7.68465
0.805,0.00274,7.79751
0.805,0.00275,7.92455
0.805,0.00276,8.06575
0.805,0.00277,8.22111
0.805,0.00278,8.39061
0.805,0.00279,8.57423
0.805,0.0028,8.77196
0.81,0.002,35.323
0.81,0.00201,34.479
0.81,0.00202,33.646
0.81,0.00203,32.8242
