# MINOS constraints on \theta_{23} and \Delta m_{31}^2
# using 10.71e20 pot of neutrino mode data
# see http://www-numi.fnal.gov/PublicInfo/plots/MINOS2013/minos2013_disappearance_contours_90CL.png
#
# \sin^2 2\theta   \Delta m^2
    0.99937          0.00219
    0.97878          0.00220
    0.95666          0.00222
    0.93984          0.00224
    0.92466          0.00227
    0.91038          0.00229
    0.89690          0.00232
    0.88336          0.00236
    0.86906          0.00239
    0.85851          0.00243
    0.84705          0.00248
    0.84107          0.00254
    0.83899          0.00258
    0.83878          0.00258
    0.84181          0.00262
    0.84831          0.00264
    0.86898          0.00266
    0.89674          0.00264
    0.92084          0.00261
    0.93745          0.00258
    0.95265          0.00255
    0.96804          0.00251
    0.98134          0.00247
    0.99017          0.00244
    0.99919          0.00243

