# MINOS exclusion limit on \nu_\mu--\nu_s mixing
# from https://arxiv.org/abs/1607.01176, fig. 4 (90% CL / solid curve)
#
# \sin^2 2\theta_{24}   \Delta m_{41}^2
      0.11634                95.05872
      0.14474                85.48244
      0.19653                79.79749
      0.24799                74.39051
      0.25279                67.80151
      0.19768                60.07619
      0.14342                54.51274
      0.12646                50.74392
      0.11086                46.11285
      0.10668                41.47291
      0.11547                36.03334
      0.11547                32.79767
      0.10965                27.16452
      0.10552                25.35794
      0.09814                25.05645
      0.07790                22.00245
      0.06699                21.22682
      0.05951                19.29218
      0.05951                18.39079
      0.07030                16.53805
      0.08020                15.76743
      0.08453                14.50088
      0.08176                14.01040
      0.07317                13.05932
      0.05799                11.99416
      0.03747                10.78586
      0.03119                10.40703
      0.02629                9.24731
      0.02633                8.10822
      0.03124                7.29138
      0.03889                6.38378
      0.04831                5.61399
      0.05402                4.76940
      0.05198                4.18753
      0.04649                3.67713
      0.03994                3.19056
      0.03548                2.73140
      0.03300                2.34147
      0.03011                1.76256
      0.02713                1.29559
      0.02504                0.97526
      0.02471                0.75080
      0.02374                0.59287
      0.02327                0.46816
      0.02358                0.41171
      0.02266                0.34413
      0.02312                0.32463
      0.02192                0.25367
      0.02517                0.21263
      0.02570                0.20516
      0.02394                0.19124
      0.01847                0.17172
      0.01709                0.16201
      0.01950                0.14744
      0.02630                0.13743
      0.02998                0.12658
      0.02998                0.11521
      0.02410                0.10723
      0.02197                0.10010
      0.02016                0.09331
      0.01732                0.08504
      0.01579                0.08205
      0.01644                0.07580
      0.02159                0.06735
      0.02200                0.06287
      0.02090                0.05730
      0.02036                0.05341
      0.01729                0.04683
      0.01598                0.04525
      0.01650                0.04027
      0.01619                0.03622
      0.01555                0.03371
      0.01616                0.03147
      0.02379                0.02686
      0.02362                0.02534
      0.02409                0.02365
      0.02409                0.02205
      0.02241                0.02130
      0.01718                0.01962
      0.01275                0.01738
      0.01472                0.01623
      0.02921                0.01513
      0.03667                0.01406
      0.04212                0.01340
      0.04354                0.01295
      0.03842                0.01109
      0.04268                0.01009
      0.04187                0.00918
      0.03689                0.00843
      0.02811                0.00757
      0.02149                0.00672
      0.01948                0.00635
      0.02792                0.00544
      0.03738                0.00490
      0.06217                0.00414
      0.12892                0.00340
      0.17172                0.00316
      0.21239                0.00328
      0.35376                0.00298
      0.60707                0.00281
      0.68506                0.00281
      0.68506                0.00247
      0.63711                0.00217
      0.53974                0.00209
      0.39983                0.00212
      0.30265                0.00197
      0.24128                0.00184
      0.20835                0.00171
      0.17782                0.00176
      0.15679                0.00165
      0.15381                0.00145
      0.16958                0.00130
      0.18494                0.00131
      0.21115                0.00135
      0.24614                0.00123
      0.31292                0.00103
      0.33842                0.00100
      0.36603                0.00112
      0.46458                0.00126
      0.56276                0.00156
      0.64683                0.00156
      0.65991                0.00114
      0.65991                0.00056
      0.67325                0.00027
      0.69719                0.00010


