# MINOS far detector efficiency for NC events
# taken from fig. 5 of 1001.0336
#
# E_reco [GeV]   efficiency
    0.53345       0.89375
    1.48281       0.93004
    3.44744       0.94224
    4.58858       0.93989
    5.60264       0.94479
    8.26558       0.93287
    9.46961       0.94260
   10.73774       0.93543
   11.37115       0.94755
   12.51250       0.94037
   13.46336       0.94043
   14.41373       0.95256
   15.30171       0.94054
   16.37936       0.94060
   17.26734       0.92858
   19.23137       0.95527
   22.33824       0.93855
   27.09249       0.94125
   32.22789       0.92465
   37.36238       0.92979

