# MINOS near detector efficiency for NC events
# taken from fig. 5 of 1001.0336
#
# E_reco [GeV]   efficiency
    0.53576        0.83820
    1.48472        0.88415
    3.70281        0.89878
    6.36605        0.87961
    7.37991        0.88934
    9.34564        0.87496
   10.54968        0.88470
   12.51481        0.88482
   13.33919        0.87762
   14.28966        0.88734
   16.38248        0.86573
   17.39603        0.88270
   19.29838        0.86832
   22.40425        0.87575
   27.72902        0.87849
   32.10291        0.88117
   37.36509        0.86458

