# MINOS NC spectrum at the far detector
# taken from fig. 9 of 1001.0336
#
#  E_reco [GeV]     Events      MC prediction   background
     0.5              42          45.48726       2.21005
     1.5              58          50.92644       3.23695
     2.5              41          45.84365       7.82783
     3.5              52          43.64573      14.28530
     4.5              40          33.98068      13.95449
     5.5              23          23.97621       9.55029
     6.5              22          17.53544       6.16437
     7.5              19          13.64012       4.47505
     8.5              11          11.27275       3.80508
     9.5              12           9.92366       3.30456
    10.5               8           8.57457       2.97349
    11.5               4           7.39466       2.64241
    12.5               7           6.72443       2.48159
    13.5               5           5.88421       2.15024
    14.5               5           4.87401       1.98888
    15.5               1           4.71346       1.82806
    16.5               6           4.21267       1.66616
    17.5               0           3.71242       1.50533
    18.5               2           3.38080       1.34397
    19.5               5           3.38942       1.35367      

