# MINOS NC spectrum at the near detector
# taken from fig. 7 of 1001.0336
#
#  E_reco [GeV]     Events      MC prediction   background
     0.5           25.58376e4    26.09137e4     5.27919e4 
     1.5           29.34010e4    31.57360e4     7.41117e4 
     2.5           26.70051e4    28.22335e4    10.65990e4 
     3.5           24.06091e4    25.88832e4    12.48731e4 
     4.5           17.36041e4    19.28934e4     9.84772e4 
     5.5           11.06599e4    12.28426e4     5.58376e4 
     6.5            7.51269e4     8.02030e4     3.14721e4 
     7.5            5.58376e4     6.09137e4     2.13198e4 
     8.5            4.46701e4     4.77157e4     1.72589e4 
     9.5            3.75635e4     3.85787e4     1.42132e4 
    10.5            3.24873e4     3.35025e4     1.21827e4 
    11.5            2.63959e4     2.74112e4     0.91371e4 
    12.5            2.33503e4     2.33503e4     0.81218e4 
    13.5            2.03046e4     2.03046e4     0.71066e4 
    14.5            1.72589e4     1.82741e4     0.60914e4 
    15.5            1.52284e4     1.52284e4     0.50761e4 
    16.5            1.31980e4     1.31980e4     0.40609e4 
    17.5            1.21827e4     1.21827e4     0.40609e4 
    18.5            1.01523e4     1.11675e4     0.30457e4 
    19.5            0.91371e4     0.91371e4     0.30457e4 

