# MINOS far detector CC \nu_\mu data from 1103.0340, fig. 2
#
# E [GeV]       Events    MC expectation (no osc.)  Background  MC expectation (bf. osc.)    
   0.5          8.59002          8.61103              3.14466           3.9244               
   1.125        4.8807          17.192                1.37856           3.721575             
   1.375        2.928425        28.51775              1.9668675         4.70065              
   1.625        7.8091          39.64875              1.77456           7.8269               
   1.875        12.6898         51.36475              1.777185         14.076525             
   2.125        24.013026       61.91025              1.584585         22.47425              
   2.375        24.98915        71.8695               1.7824375        31.65275              
   2.625        45.8785         79.68125              1.3943175        40.4405               
   2.875        50.75925        85.73625              1.3975275        48.4475               
   3.125        60.911          88.86225              1.2052175        54.112                
   3.375        57.98275        87.49825              1.2075525        57.043                
   3.625        64.03475        83.7915               1.015535         57.8265               
   3.875        54.078          77.15675              1.2133875        55.29125              
   4.125        57.0065         68.96                 0.8258525        50.999                
   4.375        52.90675        60.17725              1.0231225        46.121                
   4.625        31.82225        52.76175              0.4403575        41.243                
   4.875        33.96975        45.736                0.83373          37.146                
   5.25        55.4445          77.424                1.28226          64.929                
   5.75        39.436           63.7685               1.28751          54.7875               
   6.25        45.6833          56.7515               0.90114          50.1135               
   6.75        40.6074          51.2955               0.906975         46.6107               
   7.25        51.9305          48.96395              0.52236          45.44985              
   7.75        37.0933          47.41205              0.52761          44.67885              
   8.25        41.77875         45.8613               0.922735         43.9096               
   8.75        51.1495          44.70105              0.929155         42.3583               
   9.25        40.99785         43.54075              0.544535         41.9795               
   9.75        48.02605         41.99                 0.550375         40.03775              
   10.5        86.6811          79.3132              1.11242           76.9717               
   11.5        64.8156          74.6453              1.90384           71.5205               
   12.5        68.7202          68.4155              0                 67.6334               
   13.5        51.5401          60.6227              0                 59.843                
   14.5        56.2256          55.1739              0                 54.3941               
   15.5        63.2538          49.7262              0                 48.9453               
   16.5        46.8547          44.2761              0                 44.2761               
   17.5        42.9501          40.3879              0                 41.1688               
   18.5        40.6074          36.5009              0                 36.4997               
   19.5        32.7983          33.3971              0                 33.3971               
   25.0        163.991         193.909               0                193.932                
   40.0        109.3276        124.0352              0                124.082                



