# MINOS fit of a 3+1 sterile neutrino model with m4 >> m3 and th13=12 deg
# taken from fig. 14, right panel, of 1001.0336
#
# th24 [deg]    \Delta\chi^2
 -0.04152       -1.43541E-2
  0.83045        0.00000E+0
  1.86851        7.17703E-2
  2.90657        1.57895E-1
  3.90311        2.87081E-1
  4.94118        4.59330E-1
  5.89619        6.74641E-1
  6.80969        9.33014E-1
  7.43253        1.14833E+0
  8.13841        1.42105E+0
  8.67820        1.66507E+0
  9.30104        1.95215E+0
  9.92388        2.33971E+0
 10.58823        2.79904E+0
 11.16955        3.21531E+0
 11.46021        3.48804E+0

