# MINOS/MINOS+ exclusion contour
# from http://neutrino2016.iopconfs.org/IOP/media/uploaded/EVIOP/event_948/14.00___2_.pdf
# slide 17 (black contour)
#
# \sin^2 \theta_{24}    \Delta m_{41}^2
      0.06270               93.83612
      0.05455               83.70967
      0.06406               76.29153
      0.08792               74.68710
      0.12793               70.66111
      0.19408               66.20853
      0.19110               59.64650
      0.13572               52.96076
      0.10770               48.97303
      0.08247               45.29236
      0.06273               41.94965
      0.05802               39.30041
      0.05802               36.82402
      0.06700               34.10630
      0.10029               30.42565
      0.12689               27.77418
      0.14477               25.76583
      0.15589               23.21223
      0.14703               20.70725
      0.13229               18.68775
      0.10748               16.78391
      0.08500               14.92445
      0.06718               13.80272
      0.04419               12.63872
      0.03105               11.40443
      0.02378               10.41060
      0.02126               9.78466
      0.02037               9.30210
      0.02037               8.39369
      0.02136               7.88904
      0.02390               7.11861
      0.02494               6.36064
      0.02327               5.65679
      0.02027               5.05448
      0.01726               4.54685
      0.01324               3.95808
      0.01058               3.52525
      0.00972               3.30796
      0.00878               3.06427
      0.00811               2.73359
      0.00762               2.43860
      0.00704               2.11940
      0.00678               1.96327
      0.00640               1.77440
      0.00603               1.57782
      0.00588               1.42395
      0.00588               1.23557
      0.00582               1.02779
      0.00610               0.89195
      0.00610               0.73471
      0.00614               0.63957
      0.00614               0.51999
      0.00608               0.46921
      0.00598               0.41729
      0.00573               0.38649
      0.00573               0.36267
      0.00602               0.32202
      0.00593               0.26323
      0.00593               0.24341
      0.00666               0.22734
      0.00656               0.20248
      0.00537               0.18513
      0.00504               0.16015
      0.00499               0.14079
      0.00585               0.12541
      0.00640               0.11749
      0.00651               0.10673
      0.00631               0.09617
      0.00487               0.08893
      0.00392               0.07883
      0.00429               0.06579
      0.00482               0.06093
      0.00649               0.05570
      0.00821               0.05019
      0.00726               0.04406
      0.00635               0.04195
      0.00381               0.03530
      0.00370               0.03389
      0.00372               0.03054
      0.00448               0.02724
      0.00455               0.02458
      0.00419               0.02273
      0.00393               0.02028
      0.00410               0.01830
      0.00605               0.01530
      0.00670               0.01378
      0.00573               0.01163
      0.00564               0.01051
      0.00473               0.00877
      0.00496               0.00793
      0.00624               0.00707
      0.00789               0.00632
      0.01233               0.00534
      0.01735               0.00477
      0.02456               0.00404
      0.04109               0.00375
      0.05920               0.00346
      0.09801               0.00320
      0.19469               0.00304
      0.24502               0.00301
      0.33809               0.00289
      0.36823               0.00278
      0.46312               0.00278
      0.53261               0.00321
      0.59271               0.00321
      0.68532               0.00278
      0.63347               0.00239
      0.57774               0.00223
      0.51438               0.00239
      0.47452               0.00254
      0.36045               0.00252
      0.32784               0.00242
      0.26599               0.00242
      0.13151               0.00223
      0.09970               0.00214
      0.08231               0.00209
      0.07437               0.00193
      0.07205               0.00188
      0.06874               0.00180
      0.06660               0.00154
      0.06553               0.00134
      0.07302               0.00118
      0.09135               0.00101
      0.10821               0.00091
      0.13090               0.00079
      0.14479               0.00071
      0.17823               0.00051
      0.18695               0.00040
      0.18695               0.00032
      0.19928               0.00022
      0.20225               0.00019
      0.19387               0.00015
      0.18872               0.00011
      0.37490               0.00564
      0.34698               0.00563
      0.31517               0.00563
      0.30846               0.00528
      0.32181               0.00490
      0.34906               0.00477
      0.37185               0.00509
      0.59609               0.00558
      0.65624               0.00558
      0.63624               0.00448
      0.61275               0.00460
      0.28436               0.00010
      0.28880               0.00013
      0.28880               0.00016
      0.29350               0.00019
      0.30151               0.00025
      0.30639               0.00033
      0.31475               0.00041
      0.32993               0.00044
      0.34792               0.00046
      0.36890               0.00046
      0.39322               0.00043
      0.42087               0.00036
      0.44088               0.00032
      0.46523               0.00026
      0.49327               0.00024
      0.54305               0.00034
      0.57499               0.00040
      0.61916               0.00043
      0.65605               0.00039
      0.65605               0.00032
      0.66668               0.00026
      0.65605               0.00023
      0.66668               0.00018
      0.65605               0.00016
      0.67073               0.00013
      0.67073               0.00010

