# 90% Exclusion limit on sterile neutrinos from OPERA
# http://arxiv.org/abs/1303.3953
#
#       sin^2 2\theta_{\mu e}          \Delta m_{41}^2 [eV^2]
           0.00452238                      0.032407
           0.00476394                      0.0369297
           0.00476394                      0.0284381
           0.00515068                      0.0238919
           0.00521812                      0.04301
           0.00564173                      0.0209659
           0.00586626                      0.0479569
           0.00634249                      0.0183982
           0.00659491                      0.052321
           0.00659491                      0.107333
           0.00659491                      0.125005
           0.00694717                      0.215443
           0.00713029                      0.0165004
           0.00722366                      9.94571
           0.00722366                      0.292227
           0.00722366                      0.537646
           0.00722366                      0.184986
           0.00731824                      0.142451
           0.00741407                      0.240223
           0.00741407                      0.0983802
           0.00741407                      0.0558528
           0.00781008                      0.158835
           0.00791234                      0.0151241
           0.00833497                      0.0901743
           0.00844411                      0.059623
           0.00901161                      0.0138626
           0.00937026                      0.0808726
           0.00949295                      0.0650487
           0.0101309                       0.0725304
           0.0102636                       0.0124326
           0.0115384                       0.0113956
           0.0129716                       0.0104451

