# RENO near detector data
# from fig. 2 of http://arxiv.org/abs/1204.0626
#
#   day          rate [events/day]          error [events/day]
 20.9139              832.491                  22.383
 20.9139              832.491                  22.383
 23.2275              796.39                   25.271
 25.3379              812.274                  21.661
 26.9393              755.957                  19.494
 28.7661              685.921                  21.66
 31.5921              727.798                  19.494
 33.4396              693.141                  23.104
 35.29                663.538                  22.383
 36.5656              649.097                  21.661
 37.8707              685.199                  20.216
 40.0874              683.032                  20.939
 40.9888              627.437                  25.271
 42.3167              702.527                  25.271
 44.307               712.635                  23.827
 44.6407              684.477                  25.27
 46.6222              679.422                  18.051
 48.9809              720.578                  18.772
 50.7268              711.913                  18.773
 51.6594              709.747                  25.271
 53.8562              673.646                  19.495
 55.8406              673.646                  23.105
 57.1184              662.816                  20.216
 58.6599              703.971                  22.383
 59.3675              716.245                  28.159
 60.3932              673.646                  25.271
 62.5255              727.076                  25.993
 64.346               846.209                  20.217
 66.081               818.773                  21.66
 68.0675              822.383                  22.382
 69.7119              839.711                  23.105
 71.7958              810.108                  22.383
 73.3209              823.105                  23.104
 73.8818              784.116                  25.992
 74.9665              842.599                  30.325
 76.7027              817.329                  26.714
 77.3993              810.83                   28.159
 79.361               771.841                  25.271
 80.2089              824.549                  23.826
 81.7302              831.047                  28.159
 84.7745              846.931                  25.271
 86.1559              813.718                  24.549
 87.6839              831.769                  23.827
 88.8348              803.61                   28.159
 89.9823              769.675                  27.437
 91.8989              853.43                   23.826
 93.6385              833.935                  28.881
 94.9238              836.101                  20.939
 96.7767              810.83                   26.715
 99.4873              854.874                  26.714
 100.853              794.224                  21.66
 102.737              823.105                  19.494
 104.744              860.65                   28.159
 105.425              828.159                  28.159
 106.818              815.162                  26.715
 107.741              795.668                  22.383
 109.508              823.105                  28.881
 110.672              818.051                  20.938
 112.652              810.83                   25.993
 113.82               810.83                   25.993
 115.458              818.051                  28.158
 116.261              793.502                  25.993
 116.958              787.726                  27.436
 118.162              850.542                  27.436
 119.875              785.56                   23.826
 121.038              778.339                  25.993
 122.102              802.166                  27.437
 124.42               772.563                  23.105
 125.48               789.892                  20.938
 126.886              797.834                  27.437
 128.414              816.606                  23.827
 129.336              794.946                  28.159
 131.199              788.448                  20.938
 132.484              788.448                  23.104
 134.839              823.827                  24.548
 136.952              844.043                  19.495
 137.943              742.238                  26.715
 139.274              823.105                  24.548
 141.931              774.729                  23.105
 142.882              805.054                  29.603
 144.886              837.545                  20.217
 146.395              823.105                  23.104
 148.483              800.722                  20.217
 149.894              818.773                  25.27
 150.947              823.105                  29.603
 153.283              824.549                  20.216
 154.09               807.942                  29.603
 155.261              812.996                  29.603
 156.073              804.332                  29.603
 157.021              828.881                  24.549
 158.758              805.054                  24.549
 160.631              815.162                  23.827
 162.717              788.448                  20.216
 164.589              796.39                   20.939
 166.536              732.13                   26.715
 166.928              802.888                  25.271
 167.858              797.112                  28.881
 169.173              849.097                  26.715
 170.883              779.061                  28.159
 171.813              773.285                  23.105
 172.781              831.047                  28.159
 174.645              824.549                  23.826
 175.526              735.018                  27.437
 176.388              811.552                  28.159
 178.27               836.101                  27.437
 178.595              792.058                  28.159
 180.686              775.451                  21.661
 181.638              805.776                  28.881
 183.145              788.448                  23.104
 183.979              817.329                  26.714
 185.605              803.61                   28.881
 186.516              764.621                  28.159
 199.37               787.004                  23.826
 201.476              795.668                  26.715
 202.168              781.227                  28.159
 202.962              741.516                  30.325
 204.639              814.44                   23.105
 206.721              781.227                  20.939
 207.844              705.415                  24.549
 208.898              712.635                  25.271
 210.907              754.513                  21.66
 211.984              799.278                  22.383
 213.821              747.292                  20.217
 215.568              739.35                   21.661
 216.841              721.3                    26.714
 218.131              730.686                  25.993
 220.12               738.628                  18.773
 221.65               760.289                  23.105
 223.617              730.686                  20.217
 224.691              771.119                  28.159
 225.723              738.628                  26.715
 226.751              699.639                  25.271
 227.929              717.69                   28.158
 228.976              711.913                  25.993
 229.814              748.736                  27.437
 230.98               745.848                  23.105
 232.164              774.729                  29.603
 233.54               731.408                  23.827
 234.833              746.57                   26.715
 235.88               740.794                  27.437
 237.299              771.841                  23.105
 238.59               784.838                  29.602

