# T2K beam spectrum based on GENIE
#
# E [GeV]    \nu_e       \nu_\mu     \nu_\tau    \bar\nu_e   \bar\nu_\mu  \bar\nu_\tau
   0.0625        0          26584        0             0            0           0
   0.188        0          41296        0             0            0           0
   0.312        0          62656        0             0            0           0
   0.438        0          56784        0             0            0           0
   0.562        0          43016        0             0            0           0
   0.688        0          30800        0             0            0           0
   0.812        0          20808        0             0            0           0
   0.938        0          14888        0             0            0           0
    1.06        0          10280        0             0            0           0
    1.19        0           8480        0             0            0           0
    1.31        0           6776        0             0            0           0
    1.44        0           5800        0             0            0           0
    1.56        0           4840        0             0            0           0
    1.69        0           4528        0             0            0           0
    1.81        0           4200        0             0            0           0
    1.94        0           3888        0             0            0           0
    2.06        0           3408        0             0            0           0
    2.19        0           2968        0             0            0           0
    2.31        0           2768        0             0            0           0
    2.44        0           2608        0             0            0           0
    2.56        0           2464        0             0            0           0
    2.69        0           2328        0             0            0           0
    2.81        0           2000        0             0            0           0
    2.94        0           2176        0             0            0           0
    3.06        0           2072        0             0            0           0
    3.19        0           2120        0             0            0           0
    3.31        0           1624        0             0            0           0
    3.44        0           1672        0             0            0           0
    3.56        0           1864        0             0            0           0
    3.69        0           1592        0             0            0           0
    3.81        0           1584        0             0            0           0
    3.94        0           1376        0             0            0           0
    4.06        0           1360        0             0            0           0
    4.19        0           1160        0             0            0           0
    4.31        0           1104        0             0            0           0
    4.44        0           1128        0             0            0           0
    4.56        0            944        0             0            0           0
    4.69        0            832        0             0            0           0
    4.81        0            792        0             0            0           0
    4.94        0             83        0             0            0           0
