# T2K beam spectrum at Super-Kamiokande
# for running in neutrino mode
# from Lorena Escudero's thesis, http://www.t2k.org/docs/thesis/070, fig. 4.6 right
# all fluxes are in 1 / cm^2  / (50 MeV) / (1e21 pot)
#
# E [GeV]    \nu_e       \nu_\mu     \nu_\tau    \bar\nu_e   \bar\nu_\mu  \bar\nu_\tau
   0.05    558.58124    29900.41797     0         75.49969   34879.04688       0
   0.15   2594.09131   1.39083e5        0        249.86586  34879.04688        0
   0.25   4274.86182   3.10833e5        0        397.88647  27303.45117        0
   0.35   5252.39111   5.22184e5        0        488.15842  28758.50000        0
   0.45   5835.63184   7.76890e5        0        526.85028  28758.50000        0
   0.55   5477.70605   1.18901e6        0        553.95673  28758.50000        0
   0.65   5076.16553   1.18620e6        0        519.22229  28758.50000        0
   0.75   4465.39990   7.76890e5        0        498.59167  24935.62695        0
   0.9    3581.72046   2.60015e5        0        468.01071  18774.22266        0
   1.10   2556.53247   85663.67969      0        399.92267  14675.13477        0
   1.35   1690.77014   44856.35547      0        342.83856   9689.88379        0
   1.75   1224.55347   23833.36328      0        278.58527   5538.75928        0
   2.25    908.62762   14654.57324      0        212.17964   3259.67773        0
   2.75    718.36719   10274.98535      0        151.42583   1943.16736        0
   3.25    518.61670    9597.58301      0        116.83762   1236.03906        0
   3.75    365.34717    8835.37598      0         82.31996    835.05017        0
   4.5     199.86403    6883.16211      0         56.13578    492.95181        0
   6.0      69.10321    2745.11768      0         21.88105    211.83951        0
   8.5      12.53282     760.18976      0         10.04824     60.39106        0



