# T2K beam spectrum based on GENIE
#
# E [GeV]    \nu_e       \nu_\mu     \nu_\tau    \bar\nu_e   \bar\nu_\mu  \bar\nu_\tau
   0.0625        0              0        0             0            0           0
   0.188        0            984        0             0            0           0
   0.312        0           7992        0             0            0           0
   0.438        0          23776        0             0            0           0
   0.562        0          44136        0             0            0           0
   0.688        0          49648        0             0            0           0
   0.812        0          46048        0             0            0           0
   0.938        0          32632        0             0            0           0
    1.06        0          23368        0             0            0           0
    1.19        0          17392        0             0            0           0
    1.31        0          12312        0             0            0           0
    1.44        0           8608        0             0            0           0
    1.56        0           8152        0             0            0           0
    1.69        0           6368        0             0            0           0
    1.81        0           5336        0             0            0           0
    1.94        0           4672        0             0            0           0
    2.06        0           4808        0             0            0           0
    2.19        0           4608        0             0            0           0
    2.31        0           4712        0             0            0           0
    2.44        0           4440        0             0            0           0
    2.56        0           3208        0             0            0           0
    2.69        0           3928        0             0            0           0
    2.81        0           2656        0             0            0           0
    2.94        0           3072        0             0            0           0
    3.06        0           2832        0             0            0           0
    3.19        0           3256        0             0            0           0
    3.31        0           2704        0             0            0           0
    3.44        0           2768        0             0            0           0
    3.56        0           2152        0             0            0           0
    3.69        0           2176        0             0            0           0
    3.81        0           2584        0             0            0           0
    3.94        0           2632        0             0            0           0
    4.06        0           3032        0             0            0           0
    4.19        0           2960        0             0            0           0
    4.31        0           2880        0             0            0           0
    4.44        0           2680        0             0            0           0
    4.56        0           2968        0             0            0           0
    4.69        0           2432        0             0            0           0
    4.81        0           2288        0             0            0           0
    4.94        0            221        0             0            0           0
