# DANSS energy resolution
# from fig. 5 of https://arxiv.org/abs/1412.0817
#
# Positron energy [MeV]   Energy resolution [%]
     0.32431                     0.310407
     0.39616                     0.303438
     0.44997                     0.296469
     0.503779                    0.2895
     0.566609                    0.282531
     0.629439                    0.275562
     0.70129                     0.268592
     0.782174                    0.261912
     0.863058                    0.255233
     0.952963                    0.248553
     1.04288                     0.242163
     1.15084                     0.235772
     1.2588                      0.229382
     1.38481                     0.223281
     1.51987                     0.21776
     1.54686                     0.216017
     1.69092                     0.210206
     1.83502                     0.204975
     1.9971                      0.198582
     2.16828                     0.19393
     2.33946                     0.189279
     2.51065                     0.184627
     2.69991                     0.180846
     2.88917                     0.177065
     3.01533                     0.174157
     3.21364                     0.170955
     3.41193                     0.167464
     3.61026                     0.164553
     3.8176                      0.161641
     4.01595                     0.159311
     4.21427                     0.1564
     4.43066                     0.154069
     4.63803                     0.151738
     4.84541                     0.149697
     5.02575                     0.147948
     5.24215                     0.145907
     5.45856                     0.144157
     5.65695                     0.142697
     5.87337                     0.140947
     6.08078                     0.139487
     6.2972                      0.138026
     6.51362                     0.136276
     6.73008                     0.135396
     6.93748                     0.133936
     7.14491                     0.132766
     7.36136                     0.131886
     7.54172                     0.130718
     7.75818                     0.129838
     7.97462                     0.128668



