# DANSS exclusion limit from Moriond 2017 talk, slide 11
# https://indico.in2p3.fr/event/13763/
#
# sin^2 2\theta_{14}       \Delta m_{41}^2 [eV^2]
     0.81225                      0.06515
     0.64026                      0.07455
     0.51105                      0.08530
     0.45657                      0.09437
     0.35990                      0.10441
     0.32559                      0.11748
     0.25665                      0.13442
     0.22929                      0.14872
     0.20230                      0.16733
     0.18302                      0.18827
     0.18302                      0.24239
     0.20230                      0.26817
     0.25665                      0.29669
     0.25665                      0.33382
     0.18302                      0.37560
     0.12889                      0.42261
     0.11515                      0.47549
     0.11515                      0.61218
     0.12889                      0.66597
     0.05166                      0.74931
     0.02289                      0.84309
     0.01632                      0.94860
     0.01632                      1.06731
     0.02289                      1.20088
     0.05166                      1.32860
     0.08109                      1.49486
     0.05166                      1.62622
     0.03251                      1.89243
     0.03251                      2.12925
     0.04072                      2.39572
     0.10288                      2.69554
     0.16148                      3.03287
     0.11515                      3.35542
     0.11515                      3.77534
     0.28726                      4.24781
     0.35990                      4.77940
     0.35990                      5.37752
     0.72567                      6.05050


